Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Collection
luma-shimmer-oil,Luma shimmer oil,"<p><span>Step into summer with Luma – designed to make you glow, smell irresistible, and feel effortlessly fresh all day.</span></p>
<ul>
<li><span>Scented Shimmer Oil  – A lightweight gel base infused with a shimmering mix of gold, pearly white, and pink pigments. Glides onto the skin with a cooling feel, and once dry, the shimmer stays, leaving a luminous glow and a long-lasting fragrance.</span></li>
</ul>
<p> Notes : Pear , citrus , coconut powder , woody base.</p>",Alma Fragrances,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,,,TRUE,Title,Default Title,,,,,,0,,,deny,manual,60.00,70.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/4424FF00-BCB2-4AC5-ACD8-5138AAC89BA8.jpg?v=1755172027,1,Luma shimmer oil — image 1,FALSE,Luma shimmer oil,"Step into summer with Luma – designed to make you glow, smell irresistible, and feel effortlessly fresh all day. Scented Shimmer Oil – A lightweight gel base infused with a shimmering mix of gold, pearly white, and pink pigments. Glides onto the skin with a cooling feel, and once dry, the shimmer stays, leaving a lumin",,,,,new,TRUE,,,,,,,g,,,active,
alma-charm-collection,Alma charm collection,"<p><span>Take Alma everywhere you go. ✨</span></p>
<p><span>The </span><span>Alma Charm</span><span> is a customizable solid perfume charm designed to keep your signature scent with you—always.</span></p>
<p><span>Build yours in 3 simple steps:</span></p>
<ol>
<li>
<span>Choose your </span><span>Charm Style</span>
</li>
<li>
<span>Pick your favorite </span><span>Accessory</span>
</li>
<li>
<span>Select your </span><span>Signature Scent</span>
</li>
</ol>
<p><span>Clip it on your bag, keys, or anywhere you love.</span></p>
<p><span>Your Alma. Your Style. Everywhere. 🤍</span></p>
<p> </p>",Alma Fragrances,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,,collection-alma-solid-charms,TRUE,Pick your charm,alma daily,Pick your accessory ,heart,scents ,Vanilla Bloom,,0,shopify,0,deny,manual,99.00,109.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1135.png?v=1783060001,1,Alma charm collection — image 1,FALSE,Alma charm collection,"Take Alma everywhere you go. ✨ The Alma Charm is a customizable solid perfume charm designed to keep your signature scent with you—always. Build yours in 3 simple steps: Choose your Charm Style Pick your favorite Accessory Select your Signature Scent Clip it on your bag, keys, or anywhere you love. Your Alma. Your Styl",,,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1135.png?v=1783060001,g,,,active,Alma solid charms
alma-charm-collection,,,,,,,,Pick your charm,alma daily,Pick your accessory ,heart,scents ,Arabia,,0,,,deny,manual,99.00,109.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/DDD1E3B5-054A-4BA5-A944-432B45F9814B.png?v=1783060211,2,Alma charm collection — image 2,,,,,,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1135.png?v=1783060001,g,,,,
alma-charm-collection,,,,,,,,Pick your charm,alma daily,Pick your accessory ,heart,scents ,Leather Luxe,,0,,,deny,manual,99.00,109.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1139.png?v=1783060389,3,Alma charm collection — image 3,,,,,,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1135.png?v=1783060001,g,,,,
alma-charm-collection,,,,,,,,Pick your charm,alma daily,Pick your accessory ,ribbon,scents ,Vanilla Bloom,,0,shopify,0,deny,manual,99.00,109.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1143.png?v=1783060601,4,Alma charm collection — image 4,,,,,,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/DDD1E3B5-054A-4BA5-A944-432B45F9814B.png?v=1783060211,g,,,,
alma-charm-collection,,,,,,,,Pick your charm,alma daily,Pick your accessory ,ribbon,scents ,Arabia,,0,,,deny,manual,99.00,109.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1145.png?v=1783060799,5,Alma charm collection — image 5,,,,,,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/DDD1E3B5-054A-4BA5-A944-432B45F9814B.png?v=1783060211,g,,,,
alma-charm-collection,,,,,,,,Pick your charm,alma daily,Pick your accessory ,ribbon,scents ,Leather Luxe,,0,,,deny,manual,99.00,109.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1147.png?v=1783060988,6,Alma charm collection — image 6,,,,,,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/DDD1E3B5-054A-4BA5-A944-432B45F9814B.png?v=1783060211,g,,,,
alma-charm-collection,,,,,,,,Pick your charm,alma daily,Pick your accessory ,long ribbon,scents ,Vanilla Bloom,,0,shopify,0,deny,manual,99.00,109.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1149.png?v=1783061179,7,Alma charm collection — image 7,,,,,,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1139.png?v=1783060389,g,,,,
alma-charm-collection,,,,,,,,Pick your charm,alma daily,Pick your accessory ,long ribbon,scents ,Arabia,,0,,,deny,manual,99.00,109.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/3BD65A49-EB73-4C98-81D7-7BBE786AED8A.png?v=1783061324,8,Alma charm collection — image 8,,,,,,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1139.png?v=1783060389,g,,,,
alma-charm-collection,,,,,,,,Pick your charm,alma daily,Pick your accessory ,long ribbon,scents ,Leather Luxe,,0,,,deny,manual,99.00,109.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/FD84A973-4545-4480-B368-9C7E99344240.png?v=1783061467,9,Alma charm collection — image 9,,,,,,,,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0859/6150/7108/files/IMG-1139.png?v=1783060389,g,,,,
